timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1467693182,27.75,25.812,26.375
1467696782,27.75,25.812,26.312
1467700382,27.25,25.812,25.937
1467703982,27.187,25.812,26.062
1467707582,27.5,25.75,29.375
1467711182,30.687,25.812,35.562
1467714782,32.812,25.812,38.0
1467718383,30.562,25.812,39.125
1467721982,29.25,25.812,38.687
1467725582,28.812,25.75,36.875
1467729182,29.062,25.812,34.375
1467732782,28.687,25.875,33.625
1467736382,28.625,26.0,33.125
1467739982,29.187,26.062,32.0
1467743582,28.875,26.25,31.375
1467747182,29.25,26.562,30.375
1467750782,29.125,26.437,29.437
1467754382,29.312,26.375,28.625
1467757982,29.0,26.375,27.875
1467761582,29.312,26.437,27.5
1467765183,29.187,26.562,27.25
1467768782,29.062,26.625,27.25
1467772382,28.625,26.562,27.125
1467775982,28.812,26.687,27.125
1467779582,28.187,26.625,26.75
1467783182,28.312,26.687,26.5
1467786782,28.0,26.625,26.5
1467790382,27.875,26.687,26.687
1467793982,28.062,26.625,26.437
1467797583,27.875,26.625,26.937
1467801182,28.125,26.562,27.687
1467804782,28.375,26.437,28.187
1467808382,28.937,26.437,30.125
1467811982,29.625,26.375,33.25
1467815583,29.187,26.312,31.0
1467819182,28.75,26.312,30.562
1467822782,28.437,26.25,30.687
1467826382,28.875,26.312,29.812
1467829982,28.75,26.5,29.25
1467833582,28.437,26.687,28.875
1467837182,28.75,26.812,28.687
1467840782,29.125,26.625,28.125
1467844382,29.125,26.562,27.625
1467847983,29.5,26.562,27.75
1467851582,29.187,26.625,27.437
1467855182,29.75,26.687,27.0
1467858782,29.062,26.687,25.687
1467862382,28.812,26.687,25.5
1467865982,28.437,26.625,25.187
1467869582,28.125,26.625,25.062
1467873183,28.25,26.562,24.937
1467876782,27.75,26.437,25.312
1467880382,28.5,26.437,29.0
1467883982,29.0,26.375,34.875
1467887582,29.062,25.937,32.5
1467891182,29.062,25.687,35.5
1467894782,29.0,25.687,36.0
1467898382,28.875,25.75,35.25
1467901982,28.687,25.937,32.312
1467905582,29.562,26.0,31.687
1467909182,28.937,26.25,31.562
1467912782,29.062,26.312,29.75
1467916383,28.75,26.5,29.75
1467923582,28.0,27.125,26.625
1467927183,28.375,26.812,27.25
1467930783,29.0,25.937,27.562
1467934382,28.687,26.25,27.25
1467937982,29.0,26.375,27.062
1467941582,28.875,26.437,26.687
1467945182,28.375,26.375,26.5
1467948782,28.187,26.375,26.125
1467952382,28.187,26.312,25.875
1467955982,27.687,26.125,25.812
1467959582,27.875,26.125,25.562
1467963182,27.25,26.0,25.375
1467966782,27.687,26.0,27.562
1467970382,29.5,26.125,33.437
1467973982,31.375,26.125,34.437
1467977582,32.875,26.187,35.812
1467981182,30.187,26.187,37.812
1467984782,29.187,26.25,37.437
1467988382,28.687,26.312,35.312
1467991983,28.687,26.5,34.375
1467995582,28.437,26.562,33.687
1467999182,28.5,26.562,33.0
1468002782,28.375,26.75,32.437
1468006382,28.437,26.937,31.625
1468009982,28.375,27.125,30.687
1468013583,28.312,26.937,29.437
1468017182,28.312,26.75,28.5
1468020782,28.125,26.687,27.75
1468024382,28.312,26.687,27.125
1468027982,27.937,26.75,26.562
1468031582,28.125,26.75,25.937
1468035182,27.875,26.75,25.5
1468038782,28.0,26.687,25.062
1468042383,27.875,26.75,24.812
1468045982,27.812,26.75,25.0
1468049583,28.0,26.687,25.25
1468053182,27.625,26.625,26.562
1468056782,27.937,26.625,31.562
1468060382,28.0,26.625,34.687
1468063982,28.125,26.625,33.25
1468067583,28.125,26.625,35.687
1468071182,28.25,26.687,36.187
1468074782,28.437,26.75,34.937
1468078382,28.25,26.875,34.25
1468081983,28.375,26.875,32.125
1468085582,28.25,26.875,32.062
1468089182,28.312,26.937,31.687
1468092782,28.25,26.812,30.187
1468096383,28.187,26.812,29.0
1468099982,28.625,26.812,28.312
1468103583,28.625,26.875,28.0
1468107182,28.562,26.937,27.812
1468110782,28.375,27.0,27.437
1468114382,28.437,27.0,26.812
1468117982,28.187,26.937,26.437
1468121582,28.375,26.875,26.062
1468125182,27.937,26.875,25.937
1468128782,28.187,26.812,25.812
1468132382,27.812,26.812,25.687
1468135982,27.937,26.75,25.562
1468139582,27.687,26.687,25.125
1468143182,27.75,26.562,24.812
1468146782,28.25,26.562,24.687
1468150383,27.437,26.5,29.0
1468153982,27.75,26.5,27.0
1468157582,27.375,26.5,28.437
1468161183,27.75,26.437,27.5
1468164783,27.375,26.375,27.062
1468168382,27.375,26.312,26.562
1468171982,27.687,26.312,27.687
1468175583,27.437,26.312,27.0
1468179182,27.562,26.5,26.375
1468182782,27.5,26.625,26.375
1468186382,27.562,26.5,25.687
1468189982,27.187,26.375,23.125
1468193582,27.812,26.437,23.625
1468197182,27.625,26.375,24.937
1468200782,27.562,26.312,25.0
1468204382,27.062,26.25,24.5
1468207982,27.187,26.187,24.375
1468211582,26.875,26.125,24.25
1468215182,26.812,26.062,24.125
1468218782,26.812,26.0,24.125
1468222382,26.687,25.937,24.312
1468225982,26.875,25.812,27.5
1468229582,27.687,25.812,34.937
1468233182,27.562,25.812,37.875
1468236782,27.5,25.812,39.125
1468240382,27.5,25.75,37.5
1468243982,27.375,25.75,34.937
1468247582,27.25,25.75,31.937
1468251183,27.312,25.75,31.812
1468254783,27.125,25.75,30.562
1468258382,27.062,25.687,29.312
1468261983,27.25,25.812,29.562
1468265582,27.562,26.125,28.687
1468269182,27.562,26.125,27.687
1468272782,27.125,26.0,26.937
1468276382,27.062,25.937,25.187
1468279983,26.562,25.875,25.25
1468283582,26.937,25.937,25.875
1468287182,26.812,25.937,25.687
1468290783,26.75,25.875,25.687
1468294382,26.812,25.875,25.625
1468297982,26.437,25.812,25.25
1468301582,26.75,25.75,25.625
1468305182,26.375,25.687,25.25
1468308782,26.437,25.625,25.375
1468312382,26.5,25.625,26.25
1468315982,26.437,25.625,26.562
1468319582,30.687,25.625,36.187
1468323182,29.75,25.625,30.5
1468326782,27.625,25.625,27.125
1468330382,27.875,25.562,26.5
1468333982,26.812,25.562,26.25
1468337582,26.812,25.5,27.562
1468341182,26.812,25.5,28.125
1468344782,26.687,25.562,27.562
1468348382,27.125,25.687,27.062
1468351982,26.812,25.875,26.75
1468355582,26.625,25.687,25.937
1468359183,26.937,25.562,25.812
1468362782,26.625,25.562,25.437
1468366382,27.187,25.625,25.562
1468369982,27.0,25.625,25.375
1468373582,27.125,25.625,25.562
1468377183,26.375,25.625,25.062
1468380782,26.625,25.562,25.25
1468384382,26.187,25.5,24.875
1468387982,26.187,25.437,24.937
1468391582,26.062,25.437,24.812
1468395183,25.937,25.312,24.875
1468398783,26.125,25.25,26.562
1468402382,29.562,25.25,34.937
1468405982,28.187,25.25,38.562
1468409582,32.562,25.25,37.875
1468413182,32.375,25.25,36.687
1468416782,29.125,25.25,35.062
1468420382,28.437,25.125,32.562
1468423982,27.937,25.125,31.062
1468427582,28.312,25.125,30.062
1468431182,28.625,25.125,29.125
1468434782,28.625,25.25,28.812
1468438382,28.562,25.187,27.187
1468441982,28.75,25.25,27.312
1468445582,28.437,25.312,26.0
1468449182,27.812,25.312,26.437
1468452782,28.25,25.437,26.5
1468456382,28.0,25.312,26.187
1468459982,27.187,25.25,25.5
1468463582,27.437,25.312,25.687
1468467182,26.812,25.187,25.312
1468470782,27.0,25.062,25.437
1468474382,26.562,25.0,25.0
1468477982,26.562,24.937,25.125
1468481582,26.437,24.875,25.0
1468485182,26.125,24.937,26.5
1468488782,28.0,24.687,33.187
1468492382,29.437,24.687,34.75
1468495982,30.437,24.75,36.0
1468499582,85.0,24.75,37.187
1468503182,31.375,24.75,33.937
1468506782,85.0,24.625,32.0
1468510382,29.562,24.562,31.062
1468513983,28.812,24.562,31.062
1468517582,28.187,24.562,31.562
1468521182,28.125,24.812,30.687
1468524782,28.062,25.125,29.937
1468528382,27.875,25.062,28.125
1468531982,27.5,24.937,27.437
1468535582,27.125,24.937,26.875
1468539182,None,None,None
1468542782,26.937,25.0,26.437
1468546383,27.0,25.0,26.125
1468549982,26.812,25.0,25.875
1468553582,26.687,25.0,25.75
1468557182,26.937,25.062,25.5
1468560782,26.5,25.0,25.25
1468564382,26.687,24.937,25.187
1468567982,26.437,24.937,25.187
1468571582,26.437,24.937,26.875
1468575182,27.25,25.062,36.437
1468578783,27.562,25.0,38.062
1468582382,27.687,25.0,39.937
1468585983,27.5,25.0,37.937
1468589582,27.437,24.937,36.75
1468593182,27.437,24.875,34.312
1468596783,29.687,24.875,33.0
1468600382,28.75,25.0,33.562
1468603982,28.437,25.125,33.062
1468607582,28.25,25.437,32.187
1468611182,28.687,25.937,30.937
1468614783,28.375,26.437,29.562
1468618382,28.0,26.125,28.562
1468621982,27.5,25.812,27.812
1468625582,27.5,25.687,27.25
1468629182,27.312,25.625,26.625
1468657982,26.812,25.187,26.562
1468661582,27.062,25.187,36.062
1468665182,27.375,25.187,38.5
1468668782,27.375,25.187,39.312
1468672382,27.375,25.125,37.312
1468675982,27.437,25.125,35.75
1468679582,27.187,25.062,33.812
1468683182,27.187,25.062,33.0
1468686782,27.312,25.125,31.562
1468690383,27.187,25.187,31.062
1468693982,27.375,25.312,30.187
1468697582,27.437,25.375,29.437
1468701182,27.312,25.562,29.0
1468704782,27.437,25.562,28.0
1468708382,27.25,25.562,27.375
1468715582,27.312,25.562,26.625
1468719182,27.375,25.625,26.562
1468722782,27.75,25.687,26.375
1468726382,27.125,25.75,26.187
1468729982,27.125,25.562,26.312
1468733582,27.0,25.562,26.125
1468737182,26.937,25.562,26.125
1468740782,27.187,25.562,26.375
1468744383,26.812,25.625,27.25
1468747982,30.375,25.625,35.312
1468751582,29.937,25.687,39.625
1468755182,28.312,25.562,33.375
1468758782,31.375,25.5,34.375
1468762382,28.687,25.5,32.437
1468765982,28.25,25.5,31.75
1468769582,29.812,25.5,32.437
1468953182,28.75,25.375,30.625
1468956782,28.375,25.625,29.75
1468960383,27.937,25.812,28.75
1468963982,27.625,25.625,27.875
1468967582,27.375,25.5,27.437
1468971182,27.25,25.5,27.062
1468974782,27.312,25.562,26.937
1468978382,27.125,25.562,26.75
1468981982,27.75,25.562,26.937
1468985582,27.062,25.562,26.312
1468989182,27.25,25.562,26.312
1468992782,26.937,25.5,25.875
1468996383,27.0,25.5,26.062
1468999982,27.062,25.437,26.187
1469003582,26.75,25.437,26.812
1469007182,29.312,25.5,33.562
1469010783,31.0,25.5,35.625
1469014382,32.937,25.5,37.625
1469017982,29.437,25.5,36.625
1469021582,28.687,25.562,33.5
1469025183,28.687,25.625,33.5
1469028782,28.5,25.687,33.0
1469032382,28.687,25.687,31.312
1469035982,28.125,25.687,30.937
1469039582,28.25,25.875,29.312
1469043182,27.937,26.0,28.75
1469046782,28.062,26.062,28.687
1469050382,27.812,26.0,27.562
1469053982,27.625,25.937,26.937
1469057582,27.75,25.937,26.437
1469061182,27.312,25.937,26.187
1469064782,27.562,26.0,26.25
1469068382,27.312,25.937,26.0
1469071982,27.375,25.937,25.875
1469075582,27.437,25.875,25.625
1469079182,27.062,25.812,25.5
1469082782,27.375,25.75,25.5
1469086383,27.0,25.75,25.75
1469089983,27.125,25.75,26.687
1469093582,27.312,25.75,32.437
1469097182,27.625,25.75,34.625
1469100782,28.125,25.75,34.312
1469104382,27.937,25.75,35.312
1469107983,27.812,25.812,33.375
1469111582,28.0,25.875,32.375
1469115182,27.875,25.875,31.437
1469118782,28.0,25.937,31.312
1469122382,27.875,26.062,30.687
1469125982,27.937,26.125,30.125
1469129582,28.25,26.25,29.312
1469133182,28.937,26.312,28.687
1469136782,28.375,26.187,27.687
1469140382,27.937,26.187,27.312
1469143983,28.062,26.187,26.5
1469147582,27.687,26.187,26.75
1469151183,27.75,26.125,26.625
1469154782,27.75,26.125,26.437
1469158382,27.687,26.062,26.25
1469161982,27.875,26.0,26.062
1469165583,27.5,26.062,25.875
1469169183,27.5,26.0,25.875
1469172782,27.5,25.937,26.125
1469176382,27.437,25.875,27.125
1469179982,27.812,25.937,33.875
1469183582,28.0,25.937,37.375
1469187182,28.375,26.0,39.562
1469190782,28.375,26.0,39.812
1469194382,28.437,26.0,37.937
1469197982,28.375,26.062,36.125
1469201583,28.375,26.125,35.25
1469205182,28.375,26.125,34.437
1469208782,28.375,26.187,33.562
1469212382,28.5,26.25,32.562
1469215983,28.312,26.375,31.5
1469219582,28.437,26.375,30.437
1469223182,28.25,26.375,29.5
1469226782,28.312,26.437,28.812
1469230383,28.187,26.5,28.187
1469233982,28.187,26.437,27.75
1469237583,28.437,26.5,27.187
1469241182,28.0,26.437,26.812
1469244783,28.25,26.375,26.5
1469248382,28.0,26.375,26.187
1469251982,28.062,26.375,25.937
1469255582,28.187,26.312,25.875
1469259183,27.812,26.312,26.375
1469262782,28.125,26.312,27.375
1469266383,28.125,26.25,35.187
1469269982,28.375,26.187,36.687
1469273582,28.562,26.187,40.5
1469277182,28.625,26.125,40.25
1469280782,28.75,26.25,38.875
1469284382,28.687,26.562,36.5
1469287982,28.625,26.375,32.937
1469291583,28.5,26.25,32.062
1469295182,28.5,26.25,32.187
1469298782,28.625,26.25,31.125
1469302383,28.437,26.375,31.125
1469305982,28.562,26.375,30.437
1469309582,28.437,26.437,29.625
1469313182,28.5,26.5,28.812
1469316782,28.687,26.375,28.25
1469320383,28.25,26.375,27.812
1469323982,28.5,26.312,27.437
1469327582,28.25,26.375,27.125
1469331182,28.375,26.312,26.812
1469334782,28.5,26.312,26.562
1469338382,28.062,26.25,26.25
1469341982,28.375,26.25,26.187
1469345583,28.062,26.25,26.437
1469349182,28.187,26.25,27.5
1469352782,28.312,26.187,33.25
1469356382,28.375,26.187,36.812
1469359983,28.687,26.125,36.5
1469363582,28.812,26.125,35.187
1469367182,28.875,26.187,37.687
1469370782,28.75,26.25,33.062
1469374382,28.687,26.312,35.062
1469377982,28.687,26.375,33.875
1469381582,28.562,26.375,30.437
1469385182,28.937,26.437,29.75
1469388783,28.625,26.625,29.312
1469392382,29.125,26.625,28.437
1469395982,29.5,26.5,27.75
1469399582,30.062,26.437,27.437
1469403182,30.062,26.25,27.062
1469406783,29.5,26.062,26.437
1469410382,29.437,25.937,26.5
1469413982,28.937,26.125,26.375
1469417582,29.0,26.437,26.187
1469421182,28.5,26.187,26.062
1469424783,28.437,26.312,25.75
1469428383,28.437,26.25,25.875
1469431983,28.187,26.125,26.187
1469435583,28.375,26.062,27.062
1469439182,28.25,25.562,34.25
1469442783,30.437,25.812,36.625
1469446382,None,25.5,38.5
1469449982,28.625,25.375,38.5
1469453582,28.75,25.312,36.437
1469457182,28.5,25.375,34.562
1469460782,28.562,25.5,33.625
1469464382,28.312,25.75,32.875
1469467982,28.5,25.937,32.062
1469471582,28.375,26.187,31.0
1469475182,28.437,25.875,30.062
1469478782,28.375,25.625,29.0
1469482382,28.625,25.562,27.75
1469485982,28.687,25.687,26.812
1469489582,29.125,25.562,26.562
1469493182,29.625,25.562,26.312
1469496782,29.312,25.5,26.0
1469500382,28.812,25.312,25.625
1469503982,28.437,25.187,25.25
1469507582,None,25.062,24.937
1469511182,27.875,25.062,24.625
1469514782,28.062,25.125,24.562
1469518382,27.687,25.125,24.75
1469521982,27.75,25.187,25.625
1469525582,27.937,25.187,34.125
1469529182,28.0,25.187,37.937
1469532782,29.75,25.187,39.625
1469536382,32.125,25.187,37.687
1469539982,31.687,25.187,35.437
1469543583,30.687,25.187,32.937
1469547182,29.875,25.25,32.0
1469550782,28.875,25.375,32.062
1469554382,28.437,25.5,31.875
1469557983,28.5,25.687,30.937
1469561583,28.437,26.0,30.187
1469565182,28.75,26.062,29.312
1469568782,29.187,25.812,28.687
1469572382,28.687,25.812,27.437
1469575982,29.562,25.687,27.25
1469579582,28.875,25.562,27.437
1469583182,28.75,25.562,26.562
1469586783,28.25,25.562,26.25
1469590383,28.25,25.562,26.125
1469593983,27.875,25.562,25.937
1469597583,27.875,25.562,25.75
1469601182,27.687,25.562,25.687
1469604783,27.75,25.562,25.875
1469608382,27.75,25.687,26.437
1469611983,27.937,25.75,36.062
1469615582,28.375,25.75,40.25
1469619183,28.375,25.75,41.875
1469622782,29.375,25.75,40.5
1469626382,28.687,25.5,39.062
1469629983,28.5,25.5,36.187
1469633583,28.437,25.562,34.937
1469637183,28.312,25.625,34.25
1469640782,28.5,25.687,33.375
1469644382,28.312,25.875,32.5
1469647982,28.437,26.125,31.687
1469651582,28.312,26.25,30.687
1469655182,28.25,26.125,29.5
1469658783,28.25,26.0,28.812
1469662382,28.062,26.0,28.312
1469665982,28.312,26.062,27.812
1469669583,28.0,26.062,27.375
1469673182,28.125,26.062,27.0
1469676782,27.937,26.062,26.562
1469680382,28.0,26.062,26.187
1469683982,28.062,26.062,25.937
1469687582,27.687,26.062,25.875
1469691182,28.0,26.062,26.0
1469694783,27.687,26.062,26.562
1469698382,28.0,26.062,36.375
1469701982,28.375,26.062,40.25
1469705582,28.5,26.125,42.0
1469709182,28.625,26.125,41.75
1469712782,28.625,26.062,39.75
1469716382,28.625,26.062,37.0
1469719982,28.562,26.125,35.562
1469723582,28.562,26.25,34.75
1469727182,28.625,26.25,33.875
1469730782,28.562,26.562,32.937
1469734382,28.75,26.75,32.062
1469737982,28.562,26.875,31.062
1469741582,28.5,26.75,30.062
1469745182,28.5,26.687,29.375
1469748783,28.437,26.625,28.875
1469752383,28.625,26.625,28.437
1469755983,28.25,26.687,27.937
1469759582,28.5,26.625,27.625
1469763182,28.25,26.625,27.25
1469766782,28.25,26.562,26.937
1469770383,28.312,26.562,26.625
1469773982,28.187,26.562,26.5
1469777582,28.375,26.562,26.562
1469781182,28.062,26.562,27.125
1469784782,28.5,26.562,38.0
1469788382,28.875,26.562,42.0
1469791982,29.0,26.562,43.312
1469795582,29.187,26.562,42.437
1469799182,29.062,26.562,39.687
1469802783,29.125,26.562,37.437
1469806382,29.062,26.625,36.437
1469809982,29.062,26.687,35.75
1469813582,29.062,26.812,34.0
1469817183,29.0,26.875,33.875
1469820782,29.187,27.187,32.875
1469824383,29.0,27.375,32.0
1469827982,29.0,27.125,30.875
1469831582,28.937,27.0,30.062
1469835183,28.937,27.062,29.5
1469838783,29.0,27.062,29.0
1469842382,28.75,27.125,28.625
1469845983,29.0,27.125,28.25
1469849582,28.625,27.125,27.875
1469853182,28.75,27.062,27.562
1469856783,28.687,27.0,27.25
1469860382,28.687,27.0,27.25
1469863983,28.812,27.0,27.312
1469867582,28.5,27.0,28.25
1469871182,28.875,27.0,35.375
1469874783,28.875,27.0,33.875
1469878382,29.0,27.062,40.937
1469881982,29.187,27.0,42.062
1469885583,29.312,26.937,40.437
1469889182,29.312,26.937,38.0
1469892782,29.25,26.937,36.75
1469896382,29.312,27.0,36.062
1469899982,29.25,27.125,35.125
1469903582,29.312,27.5,34.062
1469907182,None,27.687,32.687
1469910782,30.437,28.25,31.562
1469914382,30.125,27.75,30.437
1469917982,29.875,27.625,29.937
1469921583,29.75,27.625,28.625
1469925182,30.0,26.75,28.875
1469928782,29.562,26.625,28.875
1469932382,29.625,26.812,28.875
1469935982,29.312,27.0,28.125
1469939582,29.25,27.062,27.75
1469943182,29.25,27.125,28.25
1469946782,29.187,27.25,28.437
1469950382,29.25,27.312,28.625
1469953982,None,27.312,29.0
1469957583,32.0,27.375,37.187
1469961183,30.75,27.437,40.062
1469964782,30.312,27.437,41.0
1469968382,30.187,27.5,39.812
1469971983,30.25,27.5,39.0
1469975583,30.187,27.562,37.0
1469979182,None,27.562,34.437
1469982783,None,27.687,35.062
1469986382,32.562,27.75,34.437
1469989982,31.625,27.937,33.625
1469993582,31.437,28.125,32.562
1469997182,31.0,28.187,31.937
1470000782,30.437,28.187,31.5
1470004382,30.687,28.187,30.75
1470007982,30.062,28.187,29.375
1470011582,30.812,28.187,30.0
1470015182,30.125,28.187,29.312
1470018783,30.125,28.187,28.687
1470022382,30.062,28.187,28.062
1470025982,29.937,28.187,28.25
1470029583,30.062,28.187,28.062
1470033182,29.625,28.187,27.937
