timestamp,dl_speed_10MB [MB/s]
1502878082,1.7330902279555043
1502881682,1.7254305128702891
1502885283,1.7491296792239432
1502888883,1.741620832361338
1502892482,1.753591288234686
1502896082,1.735028552057322
1502899682,1.7208191719988775
1502903282,1.7460374815522073
1502906882,0.9322678481234591
1502910482,1.7162541135555753
1502914082,1.7114771319321838
1502917682,1.717084245289117
1502921282,1.7174823468182505
1502924882,2.0772810411524913
1502928483,2.122454630633636
1502932082,2.275355820002346
1502935683,2.053574934531743
1502939283,2.1340025970465795
1502942882,2.07427995210808
1502946482,2.289083777395588
1502950082,2.1871304368140065
1502953682,2.192781962355789
1502957282,2.252128990923354
1502960882,2.2540103859678084
1502964483,0.9265193313171254
1502968082,1.7373547017719981
1502971682,1.7289888868781564
1513548482,1.569854745438469
1513552082,1.6766714001018321
1513555682,1.7569005393679094
1513559282,1.7696957310176444
1513562882,1.7724440591233326
1513566483,1.6396463874492095
1513570082,1.2112400240936703
1513573682,1.675757612078644
1513577283,1.5636761905315792
1513580882,1.6839042227442278
1513584482,1.6224208028629281
1513606082,1.2456346920409267
1513609682,1.2594834270120097
1513613282,1.0438496315420631
1513616882,0.7293285341174687
1513620482,1.0093125313552433
1513624083,1.1823591717500574
1513627682,1.614556096811375
1513631283,1.6597242801843641
1513634882,1.6124283148031566
1513638482,1.7687800974453818
1513642082,1.76843257059852
1513645682,1.5597416787918434
1513649282,1.556946055989127
1513652882,1.7490948131254338
1513656482,1.5299749206624698
1513660082,1.57946896408392
1513663683,1.7511135715660475
1513667282,2.1929934910354687
1513670883,2.1961876547698718
1513678082,1.7130955848263734
1513681682,1.7353997630196647
1513685282,1.7147076379864512
1513688882,1.737770107026699
1513692482,1.7063567923842606
1513696082,1.7523857813684924
1513699682,1.74230052655285
1513703282,1.7377438278934652
1513706882,1.7025731061901177
1513710483,1.7096574541531964
1513714082,1.492584520636101
1513717682,1.5122879998188559
1513721283,1.5653109831784184
1513724882,2.1704365738731703
1513728483,2.183593023587551
1513732082,2.204744061381429
1513735682,2.1870381754937034
1513739282,2.1405058045656733
1513742883,2.17691108326071
1513746482,2.2034386070570275
1513750082,2.178239242970793
1513753682,2.1961413127595883
1513757282,2.15028566632928
1513760882,2.2391837618945347
1513764483,1.7045053101001526
1513768082,1.7219016002507208
1513771682,1.7016451655135685
1513775283,1.7064523185910039
1513778882,1.7082715772480095
1513782482,1.7146575877889907
1513786082,1.710988695402449
1513789682,1.7333489271083313
1513793282,1.6984956282700707
1513796882,1.7105473456729328
1513800482,1.7419171702417888
1513804083,1.7067729927348583
1513807682,1.718822566479988
1513811282,2.183939688477387
1513814882,2.2027547038061095
1513818482,2.1816317630884257
1513822082,2.183337842149244
1513825682,2.1596280971863124
1513829283,2.0925304372762317
1513832882,2.1888567814886026
1513836482,2.2022221089279563
1513840082,2.2033561921536156
1513843682,2.213402558453023
1513847282,2.2214017766430656
1513850882,1.7392259877426213
1513854483,1.711083554264281
1513858082,1.5063984250693652
1513861683,1.7240874138573696
1513865282,1.7427611679459563
1516831682,1.4795206361943252
1516835282,2.188649247832891
1516838883,2.198110904109095
1516842483,2.1628581155497195
1516846082,2.211337508103432
1516849682,2.1795965471540293
1516853283,2.1346503351117403
1516856882,2.1834571846178106
1516860482,2.1092155528939998
1516864082,2.192958405407107
1516867682,2.179775292577504
1516871283,2.209163667253487
1516874882,1.6987134858759823
1516878483,1.7096296490740157
1516882082,1.7374721554435233
1516885682,1.71211889032367
1516889282,1.6998430859456024
1516892882,1.6997454051844232
1516896482,1.7159831508723038
1516900082,1.7390835635841897
1516903683,1.7367536480880759
1516907283,1.7015574247801015
1516910882,1.5642025412682354
1516914482,1.442717467187264
1516918082,1.4524332796565276
1516921682,2.1464211660885124
1516925282,2.220266910310153
1516928882,2.1280280915878715
1516932482,2.1991004265389846
1516936082,2.1441126774790478
1516939682,2.1668222698055106
1516943282,2.1821083517759456
1516946883,2.1876309960358973
1516950482,2.1118048636365856
1516954082,2.2010045277899186
1516957682,2.2084177159971103
1516961282,1.716744366844546
1516964882,1.7001294420566622
1516968482,1.7106377602074216
1516972083,1.7147661036817006
1516975683,1.7329367782148368
1516979283,1.7005064822954996
1516982882,1.7088215367938957
1516986482,1.7323012859071274
1516990082,1.7014473992296093
1516993682,1.7061475190776505
1516997282,1.5323178730719
1517000882,1.41723178940151
1517004483,1.2338579016428242
1517008082,2.0559764457273078
1517011682,2.0015864548708375
1517015282,1.8286048316050696
1517018882,1.8943264653544942
1517022482,1.8562632349853616
1517026082,1.9873299603292494
1517029682,1.8304803069607327
1517033283,2.020008579357346
1517036883,1.9120842350188756
